smiles,confnum,homo,lumo,gap
COC(=O)/C(=C/c1cc(C)c(c2ccc(c3sc(c4cc5c(s4)c(OC)c4cc(c6cc(C)c(c7ccc(c8sc(/C=C(\C#N)/C(=O)OC)cc8C)s7)s6)sc4c5OC)cc3C)s2)s1)/C#N,0,-0.246,-0.011,0.235
Cc1csc(c2ccc(c3cc(C)cs3)c3nsnc23)c1,0,-0.259,0.003,0.262
COC(=O)/C(=C/c1cc(C)c(c2cc(C)c(c3ccc(c4sc(c5sc(/C=C(\C#N)/C(=O)OC)cc5C)cc4C)s3)s2)s1)/C#N,0,-0.251,-0.017,0.23399999999999999
C[Si]1(C)c2ccsc2c2sc(c3nc4sc(c5cc6c(s5)c5sc(c7cc8sccc8s7)cc5[Si]6(C)C)nc4s3)cc12,0,-0.237,0.008,0.245
COc1c2ccsc2c(OC)c2cc(c3sc(c4scc5c4[C@@H]4C=C[C@H]5CC4(C)C)c4c3[C@@H]3C=C[C@H]4C(C)(C)C3)sc12,0,-0.253,0.047,0.3
Cn1c(=O)c2c(c3ccc(c4cc5c(s4)c4sccc4[Si]5(C)C)s3)n(C)c(=O)c2c1c1cccs1,0,-0.236,0.001,0.237
C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(c5ccccc5)c(c5ccccc5)nc34)cc1n2C,0,-0.24,0.005,0.245
CC1(C)c2cc(c3ccc(/C=C(\C#N)/C(=O)O)s3)ccc2c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)cc12,0,-0.255,0.004,0.259
CC1(C)c2cc(c3ccc(c4ccc(c5ccc(c6ccc(C=C(C#N)C#N)s6)s5)s4)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc12,0,-0.248,-0.017,0.23099999999999998
Cc1ccsc1c1nc2sc(c3sc(c4cc(C)c(c5nc6sc(c7sccc7C)nc6s5)s4)cc3C)nc2s1,0,-0.246,0.001,0.247
CC1(C)CC(=C/C(=C(\C#N)/C(=O)O)/C1)/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,0,-0.264,0.012,0.276
COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3ccc(c4ccc(/C=C(\C#N)/C(=O)O)s4)s3)cc2)cc1,0,-0.252,-0.001,0.251
